scenario_id,regime,scenario_source,ambiguity_set,demand,time_steps,demand_profile,mu_D,rho_D,sigma_D,mu_W,rho_W,sigma_W,peak_W,G3_B1_bid_profile,G3_B1_cap,G3_B2_bid_profile,G3_B2_cap,G2_B1_bid_profile,G2_B1_cap,G2_B2_bid_profile,G2_B2_cap,G1_B1_bid_profile,G1_B1_cap,G1_B2_bid_profile,G1_B2_cap,W3_B1_bid_profile,W3_B1_cap,W3_B1_profile,W2_B1_bid_profile,W2_B1_cap,W2_B1_profile,W1_B1_bid_profile,W1_B1_cap,W1_B1_profile
1,base_test_case,ambiguity_set,base_test_case,100.59108123501284,8,"[91.83545588576386, 97.67333980831769, 110.20078788523983, 103.92689911355049, 115.48214472950917, 113.63887194765967, 96.36106153977602, 92.48470737142058]",1.0059108123501284,0.75,0.02381112871182245,0.32207980635981687,0.75,0.023767586731293856,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[13.59837934067354, 13.531126781480587, 13.662789378668158, 16.08723415300563, 18.040397918818112, 18.097098628449086, 15.687535787225924, 13.986906423071952]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[14.483242159077514, 14.060851913444376, 16.170862553815578, 18.45300294341782, 16.545630111818586, 15.078708024880216, 14.14525115149268, 12.634112529335182]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[14.72745508362403, 14.829793296818778, 17.72652570879802, 17.10187743951359, 18.305437464109993, 21.07101541476868, 19.615705714296315, 18.026646623215836]"
2,base_test_case,ambiguity_set,base_test_case,101.42946316300107,8,"[88.95136618784102, 93.8570379298313, 108.8490647607689, 100.55921981804981, 112.27575564963507, 110.86794985027582, 94.35019795640214, 89.2236303255201]",1.0142946316300108,0.75,0.012024061189249688,0.2811747895749378,0.75,0.016391876059345,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[13.12201589066091, 13.650043755554488, 14.068773950053021, 14.358117980632011, 16.543170857791615, 16.286614894337426, 15.592845820417663, 13.02217779345323]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[13.384875303202637, 13.100349518752829, 12.370071138356154, 13.497437233650224, 15.342344512245454, 16.020550357955507, 13.867747523019888, 11.699188308346374]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[12.798961896791075, 12.294813253481095, 12.982404731320777, 14.836454984208332, 14.950930024884542, 15.711906325198846, 15.444972864416963, 13.545852243561294]"
3,base_test_case,ambiguity_set,base_test_case,96.13584534727187,8,"[85.18480221074357, 88.14946644017432, 102.47680710225562, 95.19380851199347, 107.61461757395033, 106.1651465792458, 87.72763141030737, 82.05978174316223]",0.9613584534727186,0.75,0.015148049490017156,0.2622453387466816,0.75,0.017163037291670534,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[12.543160500563244, 12.861620375506426, 12.42483906881182, 13.49346904827607, 15.329006265302446, 15.900101780115119, 15.15545658493773, 13.644157664032413]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[11.703358175016238, 11.426296064728866, 12.803759526768497, 11.84698462540891, 13.592785846408367, 14.22429351252358, 11.923485641368838, 11.285680459789882]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[11.225837275721268, 12.030394949757884, 12.243068956651024, 13.932276592160834, 16.321695059647272, 16.571268057097143, 14.155380686168423, 11.374481763345464]"
4,base_test_case,ambiguity_set,base_test_case,87.16077321531635,8,"[77.5690715298741, 82.8183692672193, 95.25893571610483, 88.69071476566114, 97.7791293310623, 96.48267746775939, 81.20826361588031, 77.77038957367373]",0.8716077321531636,0.75,0.007164819213450466,0.286595036195483,0.75,0.007187274855921678,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[13.426605636174083, 12.65951195590913, 12.24542261480336, 13.96921149794137, 16.667213176530268, 16.51363073156291, 14.64432412620572, 13.44339579964449]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[12.576832890465765, 12.388252066010427, 12.80315026879068, 14.35700564103336, 15.896785715060958, 16.395367252879144, 14.94164157353118, 13.15118563546468]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[12.764023786691522, 12.368953269210564, 12.916118216657374, 13.846672567088131, 15.266940272125654, 16.346701404266728, 14.949469359249235, 13.441230210375233]"
5,base_test_case,ambiguity_set,base_test_case,114.25426462984795,8,"[102.08899960607269, 107.13096410639788, 124.437877515868, 115.4459194851716, 127.38069054495382, 124.71077677931292, 105.7845900726236, 102.13426687245133]",1.1425426462984796,0.75,0.008080154627332466,0.6343858799545832,0.75,0.013615108555894099,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[27.707669573917766, 27.834609794661034, 27.47135715297859, 30.70379505793185, 35.31588359036575, 36.00537303394652, 32.571054636100314, 29.563006035084495]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[28.98455412663592, 29.135089170164964, 31.24482450229428, 33.67735416027322, 36.53038180487593, 36.99159551850983, 33.689804501527796, 30.31848958470965]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[28.487480424919404, 28.42892365736542, 28.234987837653925, 31.842359184561847, 35.16616508709486, 35.25555984727575, 32.87128409004841, 30.5273525417964]"
6,base_test_case,ambiguity_set,base_test_case,120.25012854090646,8,"[107.21260481892065, 113.68708766125361, 130.8000875475398, 121.77093237978023, 135.17568600098838, 132.6356090701127, 112.72695229415761, 107.08898996564488]",1.2025012854090646,0.75,0.001403854832325112,0.40175446329975534,0.75,0.024976621175774504,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[19.585376808604686, 20.288773807838833, 16.92914675077104, 19.146086965339375, 19.733773433929557, 22.316120006289324, 20.743931709036463, 19.394803391830617]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[16.72381115363682, 19.224431409352803, 22.03955777734603, 21.597096602077436, 24.057557414842382, 23.332366609968673, 21.266745962059098, 17.521481551290222]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[20.38572130633663, 18.477122078858713, 18.58658675337254, 20.96335494245101, 22.307974179093446, 22.562159372684608, 20.014634457112525, 17.996294755618518]"
7,base_test_case,ambiguity_set,base_test_case,103.52822989762491,8,"[92.32549112210347, 97.64695168352765, 112.93759356750131, 105.02133156530388, 116.43990746323807, 114.10609903894382, 96.71386136796704, 91.39210578422572]",1.0352822989762491,0.75,0.004805320815681104,0.7260146343630924,0.75,0.004704487181137704,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[32.74754985568765, 32.23989734516099, 33.218038324635, 36.558382915624854, 40.87553033873462, 41.64018868476292, 37.61658877370842, 34.007348106896174]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[32.68657465343823, 32.130687545733835, 33.49277308646967, 36.51501514279504, 40.48340256933495, 41.462727788696164, 37.916493014859576, 34.18102342004322]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[32.247807947359554, 32.56011964989192, 33.49188866005937, 36.317102200172144, 40.74544149733048, 41.5532802154704, 38.10280255687687, 34.19320930036941]"
8,base_test_case,ambiguity_set,base_test_case,94.28289223287753,8,"[83.9864201027416, 88.85610190204564, 102.48068168851773, 95.57131147209006, 106.01400322091601, 104.05910158822674, 88.50618738448178, 83.84593605724544]",0.9428289223287754,0.75,0.0014760194912784854,0.29092899853862103,0.75,0.006194885919977294,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[12.754412305463983, 12.762971510540305, 12.842710830933656, 14.27317466752291, 16.04233499766555, 16.749176072381626, 15.028046210300095, 13.359664669450241]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[13.176917717918215, 12.306392275856135, 13.882077209505173, 14.82762530912371, 16.249104272131305, 16.892602839675025, 15.406629693595272, 13.286305392667527]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[13.267903771539988, 13.400796525198325, 13.603291685352694, 14.747715139933131, 16.565764846784546, 16.58187943730741, 15.321713184697616, 13.835517452586114]"
9,base_test_case,ambiguity_set,base_test_case,78.278157620921,8,"[72.20523193022841, 76.08385078795568, 88.69687400662546, 82.32778942347325, 90.9157314451408, 86.78320278950984, 75.31052522606623, 75.50949157126587]",0.78278157620921,0.75,0.02414707216384858,0.5728606827798168,0.75,0.02372575999584178,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[25.37573481174916, 24.59994305548608, 25.532661385259548, 27.700235491164804, 30.48632275815912, 31.769487544310255, 28.89600225361193, 27.87333317087384]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[25.743352649162475, 25.96311063440887, 27.871648972734626, 29.66863014805028, 34.49915854128881, 33.86461936832003, 29.853553647358673, 26.450080069408955]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[25.607025577086507, 23.81424547363105, 25.088995463336104, 25.960303742642253, 31.66500749947935, 32.39347792733876, 28.94756027408908, 25.127532599164905]"
10,base_test_case,ambiguity_set,base_test_case,78.99712528040594,8,"[70.28728995265287, 74.10391882968976, 86.30318088196509, 81.20563001496598, 89.71342341517705, 88.31663609898538, 73.9221008060542, 70.77334188531252]",0.7899712528040594,0.75,0.007522843151269109,0.5381790339983252,0.75,0.02033076682314049,14.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",25.0,"[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]",25.0,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",25.0,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",25.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",25.0,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",25.0,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",50.0,"[24.153506289521516, 24.499482519206794, 26.831248319148884, 26.374296504875876, 29.950985078224075, 29.557571519614058, 27.85639811581639, 23.779581161657845]","[0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29]",50.0,"[23.681002904835204, 23.858507690561215, 25.34734964436529, 27.65598291834016, 29.84104301172273, 30.029724916571382, 28.507653623034624, 25.597465684967286]","[0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",50.0,"[22.47293366510623, 23.603984614947812, 24.955934062761024, 28.174250562145588, 30.693492065854993, 32.07360128300373, 28.062816622401233, 25.84885516689623]"
