generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[19.205678741851013, 18.41278489145214, 17.703346011150312]",18.440603214817823,0.613640124051991,445.0,3,valid,
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 8]",2,16,"[2.2055588854763086, 18.253494074006756, 1.6915668976833542]",7.383539952388806,7.689082038641463,493.6666666666667,3,valid,
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[11, 11]",2,22,"[2.623238424132922, 1.8543871480622096, 17.73037540481751]",7.402666992337548,7.309535044998232,383.6666666666667,3,valid,
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 4]",2,12,"[3.1310487088567007, 50.86547403849527, 17.721020277245458]",23.90584767486581,19.9721958038582,477.3333333333333,3,valid,
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 8]",2,12,"[18.990910828946355, 11.92108633227929, 1.8867011723748173]",10.932899444533488,7.017638823603625,436.0,3,valid,
G1,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4, 4]",3,12,"[2.2636572083908164, 18.271832804955885, 48.57439770372996]",23.036629239025554,19.204142523602442,389.0,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4]",2,8,"[1.2312280130600501, 11.82303879027833, 48.66186292104453]",20.57204324146097,20.327732962773446,499.6666666666667,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 8]",2,16,"[1.215159827601648, 1.1730884813857887, 0.6037556893794412]",0.9973346661222925,0.2788318582270997,499.3333333333333,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[11, 11]",2,22,"[19.011885435519343, 0.8506055508188145, 1.0636218362581358]",6.975370940865432,8.511545291327376,416.6666666666667,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 4]",2,12,"[1.70869221325644, 1.5633587534585875, 48.705000659069384]",17.325683875261472,22.18860701377415,499.6666666666667,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 8]",2,12,"[0.9813441636260161, 0.9521540802068815, 0.9435622587979559]",0.9590201675436179,0.016170455561422662,499.6666666666667,3,valid,
G1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4, 4]",3,12,"[0.4889660641521275, 50.84832553520888, 1.4660908835061104]",17.60112749428904,23.51270332405099,372.0,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4]",2,8,"[19.1529378377035, 18.223041039384054, 48.57442531049491]",28.650134729194153,14.093714754929202,307.3333333333333,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 8]",2,16,"[18.91300646844738, 0.8475336972735599, 1.3522904888281682]",7.037610218183036,8.399701261761217,413.3333333333333,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[11, 11]",2,22,"[1.158807678672368, 18.223238254259684, 17.707014796245527]",12.363020243059191,7.925377217336881,332.0,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 4]",2,12,"[18.92324823390938, 18.39378369496968, 17.727035020728668]",18.348022316535907,0.48942285102908045,434.6666666666667,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 8]",2,12,"[18.92361378241442, 1.5424697403600829, 17.743484435790034]",12.736522652854845,7.930039586891118,413.6666666666667,3,valid,
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[0.8622443301235131, 1.4292935589979032, 48.688733326862135]",16.993423738661182,22.41316389425225,498.0,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[8.636118192731816e-06, 1.5637768188833274e-05, 1.9416580959063664e-05]",1.4563489113542919e-05,4.4661803973695355e-06,498.6666666666667,3,valid,
